City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Port Alfred,-33.5906,26.891,60.19,85,10,3.0,ZA,clear sky
1,Jamestown,42.097,-79.2353,77.02,73,75,8.05,US,broken clouds
2,Rikitea,-23.1203,-134.9692,72.82,74,3,15.43,PF,clear sky
3,Hilo,19.7297,-155.09,82.26,84,3,1.99,US,clear sky
4,Hithadhoo,-0.6,73.0833,81.57,72,3,3.44,MV,clear sky
5,Tiksi,71.6872,128.8694,33.26,99,100,15.93,RU,snow
6,Pevek,69.7008,170.3133,34.61,77,49,10.58,RU,scattered clouds
7,Bethel,41.3712,-73.414,78.19,62,0,5.01,US,clear sky
8,Ushuaia,-54.8,-68.3,44.44,79,59,11.68,AR,broken clouds
9,Aguimes,27.9054,-15.4461,77.67,69,20,17.27,ES,few clouds
10,Ribeira Grande,38.5167,-28.7,75.6,83,75,6.91,PT,light intensity shower rain
11,Mindelo,16.8901,-24.9804,81.95,61,75,27.63,CV,broken clouds
12,Yerbogachen,61.2767,108.0108,27.86,95,96,1.72,RU,overcast clouds
13,Luderitz,-26.6481,15.1594,63.5,49,96,7.81,NA,overcast clouds
14,Goderich,43.7501,-81.7165,73.9,85,73,11.01,CA,broken clouds
15,Puerto Ayora,-0.7393,-90.3518,70.56,86,95,10.0,EC,overcast clouds
16,Pasighat,28.0667,95.3333,75.56,97,100,2.55,IN,overcast clouds
17,Severo-Kurilsk,50.6789,156.125,47.88,76,46,15.61,RU,scattered clouds
18,Laguna,38.421,-121.4238,68.29,88,100,4.61,US,overcast clouds
19,Ilulissat,69.2167,-51.1,35.62,80,75,3.44,GL,broken clouds
20,Vaitape,-16.5167,-151.75,78.55,74,6,20.62,PF,light rain
21,Dikson,73.5069,80.5464,30.94,76,100,29.68,RU,light snow
22,Porto Novo,6.4965,2.6036,77.29,83,95,6.38,BJ,overcast clouds
23,Albany,42.6001,-73.9662,75.27,67,3,3.29,US,clear sky
24,Lata,40.1629,-8.3327,72.81,68,3,5.19,PT,clear sky
25,Vaini,-21.2,-175.2,75.25,82,100,22.95,TO,light rain
26,Geraldton,-28.7667,114.6,52.21,93,75,4.61,AU,broken clouds
27,Anadyr,64.75,177.4833,42.01,93,100,5.99,RU,overcast clouds
28,Busselton,-33.65,115.3333,46.62,68,52,8.03,AU,broken clouds
29,Bereda,43.2686,-7.5406,67.41,69,0,5.5,ES,clear sky
30,Saldanha,-33.0117,17.9442,57.76,78,36,9.64,ZA,scattered clouds
31,Itarema,-2.9248,-39.9167,83.97,64,11,18.54,BR,few clouds
32,Alofi,-19.0595,-169.9187,76.03,77,96,22.95,NU,light rain
